,angle,direction,average_height,smoothed_height,double_smoothed_height
118,62,1,3.2566666666666664,3.123333333333333,2.9805555555555556
119,61,1,3.0666666666666664,3.0011111111111113,2.893333333333333
120,60,1,3.046666666666667,2.9422222222222225,2.844305555555555
121,59,1,2.89,2.8377777777777777,2.833611111111111
122,58,1,2.89,2.7855555555555553,2.866527777777778
123,57,1,2.733333333333333,2.7463888888888888,2.8602777777777777
124,56,1,2.733333333333333,2.8294444444444444,2.897638888888889
125,55,1,2.7725,2.9475,2.8958333333333335
126,54,1,2.9825,2.9741666666666666,2.8874999999999997
127,53,1,3.0875,2.9658333333333338,2.8441666666666667
128,52,1,2.8525,2.8441666666666667,2.81625
129,51,1,2.9575,2.8008333333333333,2.807916666666667
130,50,1,2.7225,2.7225,2.78
131,49,1,2.7225,2.7883333333333336,2.7912500000000002
132,48,1,2.7225,2.815,2.814583333333333
133,47,1,2.92,2.8375,2.8379166666666666
134,46,1,2.8025,2.794166666666667,2.80875
135,45,1,2.79,2.8141666666666665,2.799166666666667
136,44,1,2.79,2.8383333333333334,2.8009999999999997
137,43,1,2.8625,2.823333333333333,2.80375
138,42,1,2.8625,2.7841666666666662,2.7841666666666662
139,41,1,2.745,2.745,2.745
140,40,1,2.745,2.745,2.745
141,40,0,2.73,2.73,2.73
142,41,0,3.063333333333334,2.896666666666667,2.896666666666667
143,42,0,2.9633333333333334,2.918888888888889,2.918888888888889
144,43,0,2.9633333333333334,2.9966666666666666,2.93
145,44,0,2.84,2.922222222222222,2.912
146,45,0,2.84,2.8811111111111116,2.9
147,46,0,2.9966666666666666,2.892222222222222,2.9444444444444446
148,47,0,2.9966666666666666,2.944444444444444,2.9333333333333336
149,48,0,3.03,3.0077777777777777,2.944444444444444
150,49,0,2.89,2.9722222222222228,2.9322222222222223
151,50,0,2.89,2.936666666666667,2.9405555555555556
152,51,0,2.89,2.89,2.9488888888888893
153,52,0,2.89,2.89,2.931111111111111
154,53,0,2.89,2.89,2.9133333333333336
155,54,0,2.89,2.89,2.89
156,55,0,2.89,2.89,2.89
157,56,0,3.203333333333333,2.994444444444445,2.9422222222222225
158,57,0,3.36,3.151111111111111,3.0205555555555557
